index,belongs_to_collection,count,mean,sum
1659,Yamla Pagla Deewana,0,,0.0
1658,Yamakasi - Collection,0,,0.0
1353,The Hobgoblin Collection,0,,0.0
1354,The Houses October Built Collection,0,,0.0
1356,The Human Centipede Collection,0,,0.0
1357,The Human Condition,0,,0.0
1542,Topper Collection,0,,0.0
1657,Xtro Collection,0,,0.0
1360,The Hunters Collection,0,,0.0
1540,Tomtar och Trolltyg Collection,0,,0.0
1364,The Incredible Hulk (TV Movie) Collection,0,,0.0
1370,The Joys of Torture Series,0,,0.0
1527,Thunder in Paradise Collection,0,,0.0
1624,Westworld Collection,0,,0.0
1537,Tom and Jerry Collection,0,,0.0
1373,The Kingdom,0,,0.0
1375,The Krays Collection,0,,0.0
1536,Tom Thorne Collection,0,,0.0
1535,Tokyo Decadence series,0,,0.0
1534,Tognazzi & Vianello Collection,0,,0.0
1533,"To Sir, with Love Collection",0,,0.0
1382,The Librarian Collection,0,,0.0
1385,The Little Polar Bear Collection,0,,0.0
1528,Thunderbirds (Animation) Collection,0,,0.0
1423,The Olsen Gang Collection,0,,0.0
1425,The One-Armed Swordsman Collection,0,,0.0
1545,Totò Collection,0,,0.0
1474,The Spiders Serial,0,,0.0
1464,The Sister Street Fighter Collection,0,,0.0
1466,The Six Million Dollar Man Collection,0,,0.0
